Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-12-29 16:00:00+00:00,87538.171875,87691.0234375,87364.8984375,87600.4453125,274800640
2025-12-29 17:00:00+00:00,87697.2265625,87697.2265625,87327.8984375,87529.6015625,894156800
2025-12-29 18:00:00+00:00,87357.53125,87870.671875,87307.2421875,87734.7890625,679157760
2025-12-29 19:00:00+00:00,87238.1015625,87547.25,87238.1015625,87336.90625,601432064
2025-12-29 20:00:00+00:00,87121.6796875,87482.46875,86975.015625,87246.40625,482496512
2025-12-29 21:00:00+00:00,87224.9609375,87246.6953125,87129.8515625,87157.78125,582574080
2025-12-29 22:00:00+00:00,87260.8046875,87286.21875,86983.703125,87227.59375,188563456
2025-12-29 23:00:00+00:00,87145.21875,87291.375,87079.765625,87237.921875,0
2025-12-30 00:00:00+00:00,87129.7890625,87233.5234375,87010.6171875,87142.078125,0
2025-12-30 01:00:00+00:00,87191.5703125,87228.65625,87033.828125,87139.046875,0
2025-12-30 02:00:00+00:00,86975.734375,87230.3828125,86907.703125,87206.671875,0
2025-12-30 03:00:00+00:00,87285.1484375,87305.9375,86737.0703125,86987.84375,0
2025-12-30 04:00:00+00:00,87199.7421875,87374.3671875,87196.625,87263.125,0
2025-12-30 05:00:00+00:00,87129.546875,87250.3671875,87052.0546875,87199.890625,0
2025-12-30 06:00:00+00:00,87317.140625,87396.1328125,87121.984375,87132.8359375,0
2025-12-30 07:00:00+00:00,87378.296875,87472.65625,87278.7578125,87326.1796875,0
2025-12-30 08:00:00+00:00,87771.765625,88039.8984375,87377.125,87377.125,239476736
2025-12-30 09:00:00+00:00,87881.125,87881.125,87550.1875,87760.78125,0
2025-12-30 10:00:00+00:00,87844.3203125,88056.640625,87816.4375,87878.875,0
2025-12-30 11:00:00+00:00,87751.421875,87912.9140625,87665.15625,87843.2734375,0
2025-12-30 12:00:00+00:00,87888.2265625,87970.3515625,87822.1953125,87845.296875,0
2025-12-30 13:00:00+00:00,88002.9453125,88012.078125,87813.5078125,87913.5703125,0
2025-12-30 14:00:00+00:00,88834.1796875,88890.40625,87749.84375,88003.203125,558620672
2025-12-30 15:00:00+00:00,88947.28125,88973.1015625,88153.78125,88811.78125,1242370048
2025-12-30 16:00:00+00:00,88672.234375,89291.796875,88527.8359375,88916.6796875,2170177536
2025-12-30 17:00:00+00:00,88334.1015625,88799.6328125,88135.7890625,88678.78125,585842688
2025-12-30 18:00:00+00:00,88238.75,88378.7421875,88086.2578125,88302.4765625,65056768
2025-12-30 19:00:00+00:00,88153.5390625,88329.6484375,87927.6328125,88240.765625,111890432
2025-12-30 20:00:00+00:00,87831.0859375,88142.3359375,87814.0234375,88142.3359375,0
2025-12-30 21:00:00+00:00,88172.453125,88224.8828125,87821.828125,87821.828125,0
2025-12-30 22:00:00+00:00,88325.125,88367.234375,88182.109375,88182.109375,0
2025-12-30 23:00:00+00:00,88423.140625,88477.875,88318.5859375,88329.578125,266125312
2025-12-31 00:00:00+00:00,88161.0546875,88407.7265625,88161.0546875,88407.7265625,0
2025-12-31 01:00:00+00:00,88552.8984375,88645.015625,88085.4921875,88148.671875,386588672
2025-12-31 02:00:00+00:00,88585.5859375,88629.28125,88437.21875,88501.4921875,0
2025-12-31 03:00:00+00:00,88338.7890625,88673.15625,88289.765625,88575.71875,0
2025-12-31 04:00:00+00:00,88229.0546875,88440.0234375,88229.0546875,88342.203125,0
2025-12-31 05:00:00+00:00,88354.6484375,88413.234375,88239.765625,88239.765625,517029888
2025-12-31 06:00:00+00:00,88396.65625,88457.7578125,88349.3515625,88352.7578125,0
2025-12-31 07:00:00+00:00,88496.046875,88517.1484375,88342.2109375,88401.96875,2150400
2025-12-31 08:00:00+00:00,88321.921875,88604.8359375,88302.9921875,88492.7265625,0
2025-12-31 09:00:00+00:00,88585.390625,88587.1953125,88324.9453125,88324.9453125,45109248
2025-12-31 10:00:00+00:00,88697.6796875,88699.6171875,88553.96875,88553.96875,0
2025-12-31 11:00:00+00:00,88863.515625,88894.6484375,88703.1484375,88732.7578125,248856576
2025-12-31 12:00:00+00:00,88668.21875,88910.5,88658.2421875,88910.5,297261056
2025-12-31 13:00:00+00:00,88856.4609375,88921.734375,88642.578125,88680.65625,72802304
2025-12-31 14:00:00+00:00,88323.921875,89019.9375,88218.484375,88872.7109375,11276288
2025-12-31 15:00:00+00:00,87911.6328125,88371.0,87728.4140625,88371.0,0
2025-12-31 16:00:00+00:00,87558.6171875,87903.6875,87334.125,87845.2421875,0
2025-12-31 17:00:00+00:00,87490.890625,87561.078125,87385.9609375,87539.96875,0
2025-12-31 18:00:00+00:00,87575.078125,87838.8203125,87458.5078125,87502.9296875,0
2025-12-31 19:00:00+00:00,87455.484375,87712.1328125,87420.515625,87561.8515625,296370176
2025-12-31 20:00:00+00:00,87534.90625,87534.90625,87141.0078125,87419.890625,7612416
2025-12-31 21:00:00+00:00,87637.1953125,87692.2890625,87531.6328125,87531.6328125,1113237504
2025-12-31 22:00:00+00:00,87561.1953125,87738.6171875,87561.1953125,87652.2734375,46741504
2025-12-31 23:00:00+00:00,87501.953125,87587.4140625,87501.953125,87585.8203125,0
2026-01-01 00:00:00+00:00,87675.9296875,87679.9375,87512.875,87512.875,0
2026-01-01 01:00:00+00:00,87817.6171875,87890.0234375,87665.65625,87665.65625,0
2026-01-01 02:00:00+00:00,87776.4921875,87922.5234375,87751.6171875,87812.1875,0
2026-01-01 03:00:00+00:00,87710.953125,87857.46875,87700.390625,87748.3203125,0
2026-01-01 04:00:00+00:00,87441.4609375,87698.5078125,87413.7578125,87698.5078125,441933824
2026-01-01 05:00:00+00:00,87558.3359375,87577.171875,87452.7890625,87452.7890625,0
2026-01-01 06:00:00+00:00,87506.2578125,87555.4453125,87486.953125,87555.4453125,0
2026-01-01 07:00:00+00:00,87479.6875,87528.1171875,87468.5625,87504.0,0
2026-01-01 08:00:00+00:00,87598.375,87633.3515625,87486.9296875,87486.9296875,0
2026-01-01 09:00:00+00:00,87724.84375,87789.7890625,87618.5234375,87623.3046875,0
2026-01-01 10:00:00+00:00,87716.8125,87738.1875,87659.03125,87732.3203125,0
2026-01-01 11:00:00+00:00,87875.796875,87875.796875,87716.4140625,87716.4140625,0
2026-01-01 12:00:00+00:00,87838.296875,87889.703125,87806.5234375,87878.8671875,0
2026-01-01 13:00:00+00:00,87786.3515625,87884.8515625,87759.8359375,87829.3203125,0
2026-01-01 14:00:00+00:00,87840.1640625,87849.6015625,87713.8515625,87793.8515625,0
2026-01-01 15:00:00+00:00,87922.0625,87941.4140625,87814.3984375,87848.578125,0
2026-01-01 16:00:00+00:00,87863.2734375,87920.5625,87762.65625,87920.5625,0
